nombre_jugador,año,juegos,goles,goles_sin_penalti,tiros,asistencias,tarjetas_amarillas,tarjetas_rojas,posicion,nombre_equipo,tiempo,tarjetas_totales
Ollie Watkins,2020,9,6,5,22,1,0,0,F,Aston Villa,810,0
Jack Grealish,2020,9,5,5,26,5,2,0,F M,Aston Villa,810,2
Ross Barkley,2020,6,2,2,17,1,0,0,M,Aston Villa,454,0
Tyrone Mings,2020,9,2,2,7,1,2,0,D,Aston Villa,810,2
Ezri Konsa Ngoyo,2020,9,2,2,7,0,0,0,D,Aston Villa,810,0
Conor Hourihane,2020,4,1,1,5,1,0,0,M S,Aston Villa,236,0
John McGinn,2020,9,1,1,10,4,3,0,M,Aston Villa,810,3
Bertrand Traoré,2020,7,0,0,5,1,0,0,M S,Aston Villa,147,0
Matt Targett,2020,9,0,0,3,0,3,0,D,Aston Villa,810,3
Keinan Davis,2020,1,0,0,0,0,0,0,S,Aston Villa,24,0
Ahmed Elmohamady,2020,3,0,0,0,0,0,0,S,Aston Villa,30,0
Emiliano Martinez,2020,9,0,0,0,0,0,0,GK,Aston Villa,810,0
Anwar El Ghazi,2020,3,0,0,0,0,0,0,S,Aston Villa,31,0
Douglas Luiz,2020,9,0,0,8,1,2,0,M,Aston Villa,789,2
Trézéguet,2020,9,0,0,22,1,0,0,F M S,Aston Villa,735,0
Marvelous Nakamba,2020,2,0,0,1,0,1,0,S,Aston Villa,8,1
Matthew Cash,2020,9,0,0,2,1,4,0,D,Aston Villa,780,4
Jacob Ramsey,2020,1,0,0,0,0,0,0,S,Aston Villa,9,0
Dominic Calvert-Lewin,2020,11,11,11,36,0,1,0,F,Everton,973,1
James Rodríguez,2020,10,3,3,22,3,1,0,F,Everton,861,1
Michael Keane,2020,11,2,2,5,0,0,0,D,Everton,990,0
Abdoulaye Doucouré,2020,11,1,1,10,1,3,0,M,Everton,922,3
Richarlison,2020,8,1,0,25,3,1,1,F,Everton,642,2
Yerry Mina,2020,9,1,1,3,0,1,0,D,Everton,810,1
Bernard,2020,4,1,1,2,0,1,0,F S,Everton,168,1
Alex Iwobi,2020,10,0,0,2,1,0,0,D F S,Everton,420,0
Theo Walcott,2020,1,0,0,0,0,0,0,S,Everton,10,0
Seamus Coleman,2020,6,0,0,2,1,0,0,D,Everton,450,0
Gylfi Sigurdsson,2020,10,0,0,8,1,0,0,M S,Everton,396,0
Jordan Pickford,2020,10,0,0,0,0,0,0,GK,Everton,900,0
Fabian Delph,2020,5,0,0,1,0,0,0,D M S,Everton,206,0
Mason Holgate,2020,2,0,0,1,0,1,0,D,Everton,174,1
Tom Davies,2020,5,0,0,0,0,0,0,D M S,Everton,169,0
Jonjoe Kenny,2020,1,0,0,0,0,0,0,D,Everton,78,0
Moise Kean,2020,2,0,0,1,0,0,0,S,Everton,10,0
Allan,2020,10,0,0,4,0,4,0,M,Everton,900,4
Lucas Digne,2020,8,0,0,3,4,0,1,D,Everton,703,1
André Gomes,2020,7,0,0,3,0,1,0,M S,Everton,457,1
Cenk Tosun,2020,3,0,0,0,0,2,0,S,Everton,27,2
Robin Olsen,2020,1,0,0,0,0,0,0,GK,Everton,90,0
Ben Godfrey,2020,5,0,0,0,0,0,0,D S,Everton,420,0
Niels Nkounkou,2020,1,0,0,1,0,1,0,D,Everton,70,1
Anthony Gordon,2020,1,0,0,0,0,0,0,S,Everton,31,0
Danny Ings,2020,8,6,4,17,2,0,0,F S,Southampton,669,0
James Ward-Prowse,2020,11,4,4,10,3,2,0,M,Southampton,990,2
Jannik Vestergaard,2020,10,3,3,5,0,0,0,D S,Southampton,852,0
Che Adams,2020,11,3,3,20,3,1,0,F,Southampton,961,1
Theo Walcott,2020,6,1,1,14,2,0,0,F M,Southampton,519,0
Oriol Romeu,2020,11,1,1,9,0,4,0,M,Southampton,957,4
Jan Bednarek,2020,11,1,1,5,0,0,0,D,Southampton,905,0
Stuart Armstrong,2020,9,1,1,11,2,0,0,M,Southampton,788,0
Moussa Djenepo,2020,8,1,1,8,0,2,0,M S,Southampton,512,2
Alex McCarthy,2020,11,0,0,0,0,1,0,GK,Southampton,990,1
Nathan Redmond,2020,6,0,0,7,0,0,0,M S,Southampton,328,0
Ryan Bertrand,2020,10,0,0,2,0,1,0,D,Southampton,890,1
Shane Long,2020,8,0,0,1,0,0,0,S,Southampton,47,0
Kyle Walker-Peters,2020,11,0,0,6,1,3,0,D,Southampton,990,3
Jack Stephens,2020,4,0,0,1,0,1,0,D S,Southampton,313,1
Michael Obafemi,2020,1,0,0,0,0,0,0,S,Southampton,12,0
Ibrahima Diallo,2020,5,0,0,0,0,1,0,S,Southampton,16,1
Daniel N&#039;Lundulu,2020,2,0,0,0,0,0,0,S,Southampton,2,0
William Smallbone,2020,2,0,0,0,0,0,0,M S,Southampton,111,0
Nathan Tella,2020,3,0,0,1,0,0,0,S,Southampton,42,0
Jamie Vardy,2020,10,9,4,23,2,1,0,F S,Leicester,829,1
Youri Tielemans,2020,11,3,1,14,0,3,0,M,Leicester,990,3
Harvey Barnes,2020,10,3,3,23,1,0,0,F M S,Leicester,720,0
Ayoze Pérez,2020,5,1,1,8,0,1,0,F M,Leicester,358,1
Dennis Praet,2020,10,1,1,6,1,0,0,M S,Leicester,584,0
Timothy Castagne,2020,6,1,1,2,2,1,0,D,Leicester,540,1
James Maddison,2020,10,1,1,13,1,2,0,M S,Leicester,538,2
James Justin,2020,11,1,1,5,0,2,0,D,Leicester,990,2
Kelechi Iheanacho,2020,5,0,0,5,0,0,0,F S,Leicester,140,0
Kasper Schmeichel,2020,11,0,0,0,0,0,0,GK,Leicester,990,0
